Année	B4	B5	C10	C11	C12	C13	C6	C7	C8	C9	CB1	CD1	CD2	CG1	CG11	CG12	CG13	CG14	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	D25	E26	E27	E28	E28b	E29	E30	E31	E32	E33	E34	E35	E36	F37	F38	F39	F39a	F40	F41	F42	F43	F44	F45	F45a	F46	F47	F47a	F47b	F47c	F47d	F48	F49	F50	F51	F52	F53	F54	F55	F56	G57	G58	G58a	G58b	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	NBIB	TYPE
2013	18161.428571428572	753678.375	89.62999999999998	72.80071428571428	12.229285714285714	4.5928571428571425	136.92857142857142	47.42857142857143	60.214285714285715	29.285714285714285									6.5	16012.07142857143	7311.333333333333	988.2857142857143	145.28571428571428	16.928571428571427	309.85714285714283	80.96428571428571	275716.21428571426	131726.7142857143	276963.53846153844	1363584.4285714286	17850399.785714287	9958420.0	7891979.785714285	1001693.7857142857	1164226.888888889	535158.8571428572	5606695.571428572	2734249.714285714	14589446.92857143	807013.3571428572	24956.071428571428	1170120.5714285714	3096471.9285714286	1885229.2857142857	402070.0		51777.42857142857	316961.14285714284	211111.7857142857	16574.071428571428	212748.2142857143	39375.28571428572		1630.2307692307693	206662.7142857143					64981.642857142855	47600.357142857145	8469.642857142857	4216.571428571428	1067.2857142857142	63.214285714285715	901.7142857142857	2662.8571428571427	14580.23076923077	53.642857142857146	206.42857142857142			357187.28571428574	19338.785714285714	17187.928571428572	9823.142857142857	9474.57142857143	7595.785714285715	897.8461538461538	350.35714285714283	694.7142857142857	108028.92857142857	1986.0	701291.5	3336049.090909091	1188148.6363636365	14.0	Bibliothèques universitaires
2014	18052.928571428572	794922.8	91.15285714285713	73.81214285714285	12.43357142857143	4.835714285714286	133.85714285714286	45.214285714285715	60.42857142857143	27.857142857142858									6.285714285714286	15739.92857142857	7383.916666666667	1050.4285714285713	120.92857142857143	9.642857142857142	317.85714285714283	84.96428571428571	284572.21428571426	116293.92307692308	260584.7857142857	1374614.142857143	18125352.35714286	10186388.0	7938964.357142857	1065861.357142857	1119311.111111111	520925.0	5632620.857142857	2813233.4285714286	17252192.916666668	848079.2857142857	25468.214285714286	1095443.4285714286	3118418.214285714	1884772.357142857	410137.9285714286		52855.5	327188.35714285716	211195.14285714287	17498.35714285714	214770.57142857142	44131.5		2010.6363636363637	162773.92857142858					58370.57142857143	35341.142857142855	8099.714285714285	532.9285714285714	10287.142857142857	53.357142857142854	1105.2142857142858	2951.0714285714284	12405.57142857143	40.357142857142854	214.92857142857142			359423.0714285714	20860.85714285714	17328.785714285714	9154.57142857143	18557.428571428572	16616.571428571428	920.5384615384615	244.85714285714286	841.2142857142857	161969.92857142858	961.4615384615385	644415.6923076923	3380372.230769231	1235155.0	14.0	Bibliothèques universitaires
2015	17784.571428571428	848170.1818181818	92.05785714285715	73.63642857142858	13.25923076923077	4.880714285714285	135.78571428571428	47.357142857142854	60.142857142857146	27.928571428571427									6.285714285714286	15768.42857142857	7525.583333333333	1064.7142857142858	118.21428571428571		319.2142857142857	85.17857142857143	256800.61538461538	113408.25	278335.1538461539	1237186.4615384615	18475354.85714286	10355916.07142857	8119438.785714285	1247529.857142857	1146828.6666666667	493833.5	5640828.5	3169218.1428571427	17473564.5	901002.4285714285	31154.64285714286	1104900.357142857	3127200.8571428573	1802798.5714285714	416878.35714285716	1066.75	53256.42857142857	411208.0	211236.7142857143	18519.714285714286	213303.07142857142	88651.92857142857	38970.71428571428			316.2857142857143	188680.6923076923	107176.33333333333	176994.27272727274	126034.0	34567.0	5365.071428571428	394.0	82918.21428571429	45.857142857142854	1023.4285714285714	1720.4285714285713	6658.571428571428	43.57142857142857	220.0	288.3636363636364	4308.25	358673.14285714284	18427.85714285714	17467.14285714286	9483.42857142857	14625.57142857143	13008.214285714286	530.5384615384615	301.35714285714283	823.3571428571429	138675.2142857143	908.3076923076923	665823.2857142857			14.0	Bibliothèques universitaires
2016	18560.571428571428	890804.0909090909	92.10285714285715	74.82428571428571	13.392857142857142	3.8785714285714286	136.0	44.714285714285715	62.642857142857146	28.642857142857142									6.285714285714286	15918.214285714286	7494.583333333333	1093.5	125.42857142857143		320.35714285714283	85.37857142857142	269344.23076923075	125470.58333333333	238279.38461538462	995707.0	18801818.64285714	10573710.07142857	8228108.642857143	1494166.2142857143	1110312.0	526593.3571428572	5414269.071428572	3171795.785714286	17551934.583333332	1120241.0	75246.0	1209750.5714285714	3338785.9285714286	1810559.5714285714	554644.3846153846	1177.5833333333333	57852.307692307695	557676.7692307692	227493.38461538462	17474.214285714286	251458.83333333334	100655.85714285714	55032.142857142855			333.92857142857144	206482.64285714287	118715.3	77874.72727272728	156924.2142857143	38361.78571428572	6794.285714285715	1031.7142857142858	107272.78571428571	6.928571428571429	1025.642857142857	2431.0714285714284	7641.785714285715	58.84615384615385	242.85714285714286	355.2857142857143	3774.285714285714	356395.5714285714	19200.785714285714	17564.14285714286	6872.285714285715	11574.857142857143	10079.142857142857	497.46153846153845	204.92857142857142	828.8571428571429	173557.23076923078	900.3846153846154	651017.2142857143			14.0	Bibliothèques universitaires
2017	16002.866666666667	938082.9090909091	88.32066666666667	71.02733333333332	13.795333333333337	3.4966666666666666	132.2	42.46666666666667	61.666666666666664	28.066666666666666									6.428571428571429	15830.214285714286	7594.416666666667	1076.5	133.14285714285714		319.14285714285717	85.91428571428571	267160.21428571426	115360.07692307692	238275.23076923078	1286095.4285714286	18076998.733333334	10215080.466666667	7889025.2	1620123.6666666667	1051415.3	530953.0666666667	5037004.933333334	2854437.066666667	17954821.166666668	1040546.8461538461	42867.46153846154	1394457.5	3115089.8	1663401.4	521289.5	1422.4615384615386	51796.857142857145	520873.28571428574	211202.7857142857	17150.133333333335	249676.92307692306	147534.86666666667	89644.53333333334			319.8	250854.2	100291.08333333333	91564.25	54156.5	40663.5	6264.0	355.7857142857143	5411.642857142857	5.857142857142857	792.0	663.7142857142857	12076.714285714286	54.857142857142854	247.64285714285714	360.35714285714283	4182.857142857143	342692.5333333333	18913.666666666668	17058.2	5678.928571428572	8960.333333333334	7544.0	437.15384615384613	124.64285714285714	1518.357142857143	189059.23076923078	767.0833333333334	744865.2666666667			15.0	Bibliothèques universitaires
2018	15728.333333333334	906628.7272727273	87.72466666666666	71.17466666666665	12.801999999999998	4.015714285714286	128.0	40.06666666666667	61.2	26.733333333333334									5.928571428571429	15856.142857142857	7474.416666666667	1069.857142857143	122.07142857142857		317.92857142857144	85.59285714285714	266460.64285714284	107176.53846153847	244633.84615384616	1282598.357142857	18550175.8	10268856.066666666	8281319.733333333	1486270.8	1042936.5	604619.7142857143	5535446.2	3428802.2666666666	18534619.416666668	1032515.4166666666	63038.07692307692	1283336.5	2991467.0	1684599.2666666666	409630.6	1354.5	48816.2	416582.86666666664	197119.4	17786.4	232427.42857142858	162205.6	91859.53333333334			304.8	269283.86666666664	110101.16666666667	103577.25	45895.142857142855	34280.28571428572	6615.785714285715	532.6428571428571	2946.6428571428573	12.285714285714286	696.9285714285714	810.5714285714286	16669.071428571428	72.0	273.57142857142856	408.7857142857143	4573.928571428572	323252.0	18044.8	17438.333333333332	5650.214285714285	9122.6	7855.785714285715	466.7692307692308	136.92857142857142	1342.7142857142858	138640.76923076922	782.5	503196.0			15.0	Bibliothèques universitaires
2003			1.7634245192307707	1.4491019417475737	0.24212560386473436	0.048325358851674646	3.4714285714285715	0.49047619047619045	1.3	1.680952380952381									1.171497584541063	419.7710769230769	289.6579292929292	37.8921568627451	5.176470588235294	1.3823529411764706	236.7107843137255	42.810436893203885																	38721.382775119615	34070.65564356436	178.33004926108376		361.55172413793105	2782.0343137254904	1404.5643564356435	397.4019607843137	31.381909547738694	96.76649746192894		4.7537688442211055	16.155					1020.1512195121951	885.5693069306931	0.8529411764705882	3.2216748768472905	28.965853658536584	43.51219512195122	48.55882352941177	4.069651741293533	81.53475935828877	0.8020304568527918	5.130653266331659			3524.8282208588957	169.6042780748663	162.26373626373626	387.53977272727275	503.1666666666667	2.212290502793296	3.446327683615819	3.9101123595505616	4.621468926553672			22225.227272727272	3873.0923076923077	7020.176470588235	212.0	Réseaux de bibliothèques des universités
2004			1.7810810810810818	1.5025225225225225	0.25	0.036846846846846845	3.4837837837837835	0.5085585585585586	1.490990990990991	1.5315315315315314									1.1545454545454545	463.3430188679245	308.8037558685446	41.91705069124424	5.824884792626728	1.2027649769585254	245.02714932126696	46.055936073059364																	42220.26388888889	37088.733944954125	29.76605504587156		289.8790697674419	2802.811059907834	1343.6261682242991	560.6451612903226	222.88679245283018	154.8495145631068		13.648780487804878	8.60576923076923					1232.1953488372094	1128.442396313364	0.5161290322580645	4.224770642201835	37.444954128440365	1.2831050228310503	33.21559633027523	13.675925925925926	117.44444444444444	1.7962962962962963	4.972350230414746			3684.48730964467	175.32994923857868	164.43523316062175	423.979057591623	6.700507614213198	2.472361809045226	1.0515463917525774	1.2164948453608246	0.06666666666666667			18293.5	1053.4009433962265	2080.300469483568	222.0	Réseaux de bibliothèques des universités
2005			1.7776363636363643	1.4752727272727273	0.2565454545454545	0.04337899543378995	3.4477272727272728	0.48409090909090907	1.5318181818181817	1.4318181818181819									1.17351598173516	428.3289099526067	304.5311320754717	42.13181818181818	5.7681818181818185	1.2557077625570776	248.7188940092166	44.65277777777778					160220.38037037037	91050.10629629629	67505.98529411765		6350.818181818182	27089.0	66074.96293750001	14056.92695035461	216574.8	10695.771929824561	215.78947368421052	10906.548387096775	41897.46118721461	37900.7899543379	29.723502304147466		295.26635514018693	2260.3644859813085	752.2476190476191	446.78139534883724	324.8133971291866	177.9939024390244		19.151041666666668	92.0679012345679					1205.9493087557603	1160.9351851851852	0.7695852534562212	5.413953488372093	6.62037037037037	1.719626168224299	24.544186046511626	11.910377358490566	310.9086294416244	0.8411214953271028	7.6415094339622645			3964.4207650273224	182.71505376344086	267.1912568306011	209.55696202531647	21.980392156862745	4.918269230769231	0.7451923076923077	3.2610837438423643	13.422330097087379	316.8041237113402		27462.492537313432	3049.897435897436	5344.93670886076	220.0	Réseaux de bibliothèques des universités
2006	3629.0467289719627	29045.523255813954	2.1644864864864872	1.9663125000000004	0.34694630872483234	0.07537414965986393	4.510752688172043	0.6708074534161491	1.8148148148148149	1.962962962962963									1.2301136363636365	454.10887573964493	316.73939393939395	47.9375	6.948863636363637	1.1754385964912282	254.2688172043011	45.40833333333334	26312.48951048951	10822.618055555555	3205.978260869565	11649.993103448276	195007.12096774197	219143.49044117646	107748.6510752688	43840.91176470588	4271.272727272727	16213.492424242424	147702.5506060606	36454.3661728395	207522.39973333335	3931.6627906976746	1016.8631578947368	10525.309795698924	45281.31720430108	42111.48484848485	22.408602150537636		436.17391304347825	3036.4125	522.6978021978022	530.9461077844311	909.6513157894736	394.2977099236641		26.46564885496183	27.496062992125985					1241.6935483870968	1158.446327683616	0.03296703296703297	7.036144578313253	31.196319018404907	5.833333333333333	43.21965317919075	35.962025316455694	269.96078431372547	1.2228915662650603	6.716763005780347			4371.302158273381	201.32258064516128	156.8653846153846	189.93835616438355	12.46236559139785	6.59375	0.2564102564102564	3.585526315789474	4.402597402597403	39.25714285714286	97.69565217391305	33809.220338983054	3197.4137931034484	9244.133333333333	186.0	Réseaux de bibliothèques des universités
